Settlement House,Title,Main Office (delete or move to keep formatting),Address,City,Borough,State,Zipcode,Programs,Early Childhood Education,Afterschool Programs,Older Adult Services,Latitude,Longitude
CAMBA,The Rockaway,,730 Rockaway Avenue,Brooklyn,Brooklyn,NY,11212,Housing & Homelessness,,,,40.66192,-73.908923
CAMBA,East New York Beacon 166 at The Van Siclen Community Middle School,,800 Van Siclen Avenue,Brooklyn,Brooklyn,NY,11207,Beacon,,Afterschool,,40.659885,-73.885446
CAMBA,T Building,,82-41 Parsons Blvd,Jamaica,Queens,NY,11432,Housing & Homelessness,,,,40.71757,-73.807614
CAMBA,"Brooklyn Academy High School
",,832 Marcy Avenue,Brooklyn,Brooklyn,NY,11216,Other Children & Youth Services,,,,40.684718,-73.947272
CAMBA,Independence High School,,850 10th Avenue,New York,Manhattan,NY,10019,Other Children & Youth Services,,,,40.768034,-73.989124
CAMBA,Myrtle Avenue Apartments,,854 Myrtle Avenue,Brooklyn,Brooklyn,NY,11206,Housing & Homelessness,,,,40.69529,-73.947942
CAMBA,Kings Inn,,87-02 23rd Avenue,East Elmhurst,Queens,NY,11369,Housing & Homelessness,,,,40.76718,-73.882511
CAMBA,Austin 147,,880 E. 147th Street,Bronx,Bronx,NY,10455,Housing & Homelessness,,,,40.810278,-73.904412
CAMBA,Penn-Wortman Cornerstone,,895 Pennsylvania Avenue,Brooklyn,Brooklyn,NY,11207,Cornerstone,,Afterschool,,40.656154,-73.888038
CAMBA,Howard Cornerstone,,90 Watkins Street,Brooklyn,Brooklyn,NY,11212,Cornerstone,,Afterschool,,40.670879,-73.908581
CAMBA,The Landing,,94-00 Ditmars Boulevard,East Elmhurst,Queens,NY,11369,Housing & Homelessness,,,,40.769202,-73.876096
CAMBA,Multi-service Program Office,,955 Flatbush Ave,Brooklyn,Brooklyn,NY,11226,"Workforce Development, Other Children & Youth Services, Adult Literacy, Violence Prevention",,,,40.648293,-73.95808
CAMBA,97 Crooke/Reverand Dan Ramm,,97 Crooke Avenue,Brooklyn,Brooklyn,NY,11226,Housing & Homelessness,,,,40.653101,-73.96242
CAMBA,Community School at P.S. 306 Ethan Allen Elementary,,970 Vermont Street,Brooklyn,Brooklyn,NY,11207,Community School,,,,40.655462,-73.886365
CAMBA,YABC at Franklin K. Lane High School,,999 Jamaica Avenue,Brooklyn,Brooklyn,NY,11208,Other Children & Youth Services,,,,40.692641,-73.868911
Center for Family Life in Sunset Park,Sunset Park High School,,153 35th St.,Brooklyn,Brooklyn,NY,11232,"21st Century Community Learning Center, Youth Employment Services, Arts & Culture, Workforce Development",,Afterschool,,40.655463,-74.004566
Center for Family Life in Sunset Park,MS 936,,270 - 59th Street,Brooklyn,Brooklyn,NY,11220,Family Services,,,,40.642793,-74.020287
Center for Family Life in Sunset Park,PS 939,,270 - 59th Street,Brooklyn,Brooklyn,NY,11220,"LEAPS, Family Services",,Afterschool,,40.642793,-74.020287
Center for Family Life in Sunset Park,PS 1,,309 47th St.,Brooklyn,Brooklyn,NY,11220,"Beacon, Summer Rising, Family Services",,Afterschool,,40.649099,-74.011834
Center for Family Life in Sunset Park,PS 503/PS 506,,333 60th St.,Brooklyn,Brooklyn,NY,11220,"Beacon, Community School, LEAPS, Summer Rising, Food Access, Family Services",,Afterschool,,40.641685,-74.019602
Center for Family Life in Sunset Park,R.I.S.E U.P Family Enrichment Center,,341 39th Street,Brooklyn,Brooklyn,NY,11232,Civic Engagement & Community Organizing,,,,40.653336,-74.007103
Center for Family Life in Sunset Park,MS 136/ MS 821,,4004 4th Ave.,Brooklyn,Brooklyn,NY,11232,"21st Century Community Learning Center, COMPASS/SONYC, Summer Rising, Arts & Culture, Family Services",,Afterschool,,40.651937,-74.00727
Center for Family Life in Sunset Park,PS 516,,4222 4th Ave.,Brooklyn,Brooklyn,NY,11232,"21st Century Community Learning Center, Family Services",,Afterschool,,40.650674,-74.008514
Center for Family Life in Sunset Park,PS 169,,4305 7th Ave.,Brooklyn,Brooklyn,NY,11232,"COMPASS/SONYC, Summer Rising, Family Services",,Afterschool,,40.646039,-74.001936
Center for Family Life in Sunset Park,Main Center,X,443 39th St.,Brooklyn,Brooklyn,NY,11232,"Adult Literacy, Food Access, Family Services, Immigrant Services, Workforce Development",,,,40.651994,-74.004866
Center for Family Life in Sunset Park,PS 94,,5010 6th Avenue,Brooklyn,Brooklyn,NY,11220,"COMPASS/SONYC, Summer Rising",,Afterschool,,40.643622,-74.008603
Center for Family Life in Sunset Park,PS 971,,6214 4th Ave.,Brooklyn,Brooklyn,NY,11220,"COMPASS/SONYC, Summer Rising, Family Services",,Afterschool,,40.639475,-74.020163
Chinese-American Planning Council,CPC Home Attendant Program,,1 York Street,New York,Manhattan,NY,10013,Health & Fitness,,,,40.721257,-74.005463
Chinese-American Planning Council,Early Childhood Center - Jacob Riis ,,108 Avenue D,New York,Manhattan,NY,10009,Child Care Center,Early Childhood Education,,,40.723379,-73.975694
Chinese-American Planning Council,Early Childhood Center - Garment Industry and School-Age Child Care - Chrystie Street,,115 Chrystie Street,New York,Manhattan,NY,10002,Child Care Center,Early Childhood Education,,,40.718647,-73.993774
Chinese-American Planning Council,School-Age Child Care at PS 2,,"122 Henry Street, room 109",New York,Manhattan,NY,10002,"COMPASS/SONYC, Summer Rising",,Afterschool,,40.713175,-73.991351
Chinese-American Planning Council,Early Childhood Center - Chung Pak ,,125 Walker Street,New York,Manhattan,NY,10013,Child Care Center,Early Childhood Education,,,40.717376,-73.999876
Chinese-American Planning Council,Queens Community Center,,133-14 41st Ave,Flushing,Queens,NY,11355,"Child Care Center, Youth Employment Services, Other Children & Youth Services, Older Adult Center, Other Older Adult Services, Civic Engagement & Community Organizing, Family Services, Immigrant Services, Workforce Development",Early Childhood Education,,Older Adults,40.757259,-73.831417
Chinese-American Planning Council,Early Childhood Center - Lois C. Lee ,,"133-14 41st Ave, 3rd FL",Flushing,Queens,NY,11355,Child Care Center,Early Childhood Education,,,40.757259,-73.831417
Chinese-American Planning Council,Nan Shan Older Adult Center,,133-14 41st Ave.,Flushing,Queens,NY,11355,"Older Adult Center, Other Older Adult Services",,,Older Adults,40.757259,-73.831417
Chinese-American Planning Council,School-Age Child Care at PS 20,,142-30 Barclay Avenue,Flushing,Queens,NY,11355,"COMPASS/SONYC, Summer Rising",,Afterschool,,40.758693,-73.824387
Chinese-American Planning Council,School-Age Child Care at PS 130,,143 Baxter Street,New York,Manhattan,NY,10013,"COMPASS/SONYC, Summer Rising",,Afterschool,,40.718747,-73.998446
Chinese-American Planning Council,Flushing International High School,,144-80 Barclay Ave.,Flushing,Queens,NY,11355,Youth Employment Services,,,,40.760417,-73.818015
Chinese-American Planning Council,New Utrecht High School,,1601 80th Street,Brooklyn,Brooklyn,NY,11214,"COMPASS/SONYC, Other Children & Youth Services",,Afterschool,,40.613239,-74.003134
Chinese-American Planning Council,Open Door Older Adult Center,,168 Grand Street,New York,Manhattan,NY,10013,"Older Adult Center, Other Older Adult Services",,,Older Adults,40.719768,-73.998193
Chinese-American Planning Council,Little Star Early Childcare Center ,,178 Broome Street,New York,Manhattan,NY,10002,Child Care Center,Early Childhood Education,,,40.717015,-73.986287
Chinese-American Planning Council,School-Age Child Care at PS 153,,1970 Homecrest Avenue,Brooklyn,Brooklyn,NY,11229,"COMPASS/SONYC, Summer Rising",,Afterschool,,40.601192,-73.959901
Chinese-American Planning Council,Lafayette HS Education Campus,,2630 Benson Ave,Brooklyn,Brooklyn,NY,11214,Youth Employment Services,,,,40.594,-73.985749
Chinese-American Planning Council,Manhattan International High School,,317 E 67th St,New York,Manhattan,NY,10065,Youth Employment Services,,,,40.765343,-73.95974
Chinese-American Planning Council,Queens High School for Language Studies,,35-01 Union Street,Flushing,Queens,NY,11354,"Other Children & Youth Services, Youth Employment Services",,,,40.764889,-73.827767
Chinese-American Planning Council,High School for Dual Language & Asian Studies,,350 Grand Street,New York,Manhattan,NY,10002,"COMPASS/SONYC, Other Children & Youth Services",,Afterschool,,40.717356,-73.989596
Chinese-American Planning Council,School-Age Child Care at PS 124,,40 Division Street,New York,Manhattan,NY,10002,"COMPASS/SONYC, Summer Rising",,Afterschool,,40.714339,-73.995531
Chinese-American Planning Council,Brooklyn Community Center and Brooklyn Older Adult Center ,,4101 8th Avenue,Brooklyn,Brooklyn,NY,11232,"Older Adult Center, Other Older Adult Services, Food Access, Family Services, Immigrant Services, Youth Employment Services, Housing & Homelessness",,,Older Adults,40.645982,-73.998454
Chinese-American Planning Council,Education and Career Services,,45 Suffolk Street,New York,Manhattan,NY,10002,"Adult Literacy, Other Children & Youth Services, Youth Employment Services, Workforce Development",,,,40.718658,-73.986472
Chinese-American Planning Council,Manhattan Community Center at CPC One,X,45 Suffolk Street,New York,Manhattan,NY,10002,"Mental Health & Substance Abuse, Immigrant Services, Health & Fitness, Family Services, Civic Engagement & Community Organizing, Adult Literacy, Workforce Development, Youth Employment Services",,,,40.718658,-73.986472
Chinese-American Planning Council,Beacon @ IS 220,,4812 9th Avenue,Brooklyn,Brooklyn,NY,11220,Beacon,,Afterschool,,40.640781,-74.000809
Chinese-American Planning Council,Brooklyn International High School,,49 Flatbush Avenue Extension,Brooklyn,Brooklyn,NY,11201,Youth Employment Services,,,,40.687282,-73.979634
Chinese-American Planning Council,Wellness at Hong Ning Housing for the Elderly,,50 Norfolk Street,New York,Manhattan,NY,10002,Other Older Adult Services,,,Older Adults,40.716697,-73.988082
Chinese-American Planning Council,Community School @ PS 94,,5010 6th Ave,Brooklyn,Brooklyn,NY,11220,Community School,,,,40.643622,-74.008603
Chinese-American Planning Council,NY Chinatown Older Adult Center,,55 Chrystie Street,New York,Manhattan,NY,10002,"Older Adult Center, Other Older Adult Services",,,Older Adults,40.716542,-73.994848
Chinese-American Planning Council,FDR High School,,5800 20th Ave,Brooklyn,Brooklyn,NY,11204,Youth Employment Services,,,,40.62076,-73.981712
Chinese-American Planning Council,Project Reach,,5800 20th Ave,New York,Brooklyn,NY,11204,Other Children & Youth Services,,,,40.62076,-73.981712
Chinese-American Planning Council,Wellness at 64 Norfolk,,64 Norfolk Street ,New York,Manhattan,NY,10002,Other Older Adult Services,,,Older Adults,40.717197,-73.987869
Chinese-American Planning Council,Fort Hamilton High School,,8301 Shore Rd.,Brooklyn,Brooklyn,NY,11209,Youth Employment Services,,,,40.627244,-74.039739
Cypress Hills LDC,Cypress Hills Child Care Corporation Child Care Center,,108 Pine St.,Brooklyn,Brooklyn,NY,11208,Child Care Center,Early Childhood Education,,,40.683985,-73.873481
Cypress Hills LDC,After School at PS 345,,111 Berriman St.,Brooklyn,Brooklyn,NY,11208,21st Century Community Learning Center,,Afterschool,,40.676188,-73.880225
Cypress Hills LDC,PS 290 After School Program,,135 Schenck Avenue,Brooklyn,Brooklyn,NY,11207,21st Century Community Learning Center,,Afterschool,,40.678137,-73.889691
Cypress Hills LDC,Cypress Senior Housing,,137 Jamaica Avenue,Brooklyn,Brooklyn,NY,11207,Other Older Adult Services,,,Older Adults,40.679483,-73.895048
Cypress Hills LDC,Afterschool (PS 108),,200 Linwood Street,Brooklyn,Brooklyn,NY,11208,"Community School, Other Children & Youth Services",,,,40.681306,-73.884187
Cypress Hills LDC,Community School (PS 89),,265 Warwick Street,Brooklyn,Brooklyn,NY,11207,"Summer Rising, COMPASS/SONYC, 21st Century Community Learning Center",,Afterschool,,40.677694,-73.886798
Cypress Hills LDC,East New York Community Center,X,276 Chestnut Street,Brooklyn,Brooklyn,NY,11208,"Youth Employment Services, Other Children & Youth Services, Other Older Adult Services, Food Access, Workforce Development, Health & Fitness, Immigrant Services, Adult Literacy, Arts & Culture, Civic Engagement & Community Organizing",,,Older Adults,40.681157,-73.875113
Cypress Hills LDC,Beacon at PS 214,,2944 Pitkin Avenue,Brooklyn,Brooklyn,NY,11208,Beacon,,Afterschool,,40.676332,-73.863063
Cypress Hills LDC,Community Development and Organizing Office,,2966 Fulton St.,Brooklyn,Brooklyn,NY,11208,"Civic Engagement & Community Organizing, Housing & Homelessness",,,,40.679668,-73.88521
Cypress Hills LDC,Housing Counseling Office,,3214 Fulton Street,Brooklyn,Brooklyn,NY,11208,Housing & Homelessness,,,,40.682363,-73.876351
Cypress Hills LDC,Cypress Hills Child Care Corporation,,3295 Fulton St.,Brooklyn,Brooklyn,NY,11208,Head Start,Early Childhood Education,,,40.683337,-73.87371
Cypress Hills LDC,"Afterschool Programs at Liberty Avenue Middle School, VISTA Middle School and Achievement First Charter School",,350 Linwood St,Brooklyn,Brooklyn,NY,11208,"COMPASS/SONYC, Summer Rising",,Afterschool,,40.677147,-73.883619
Cypress Hills LDC,Beacon at JHS 218,,370 Fountain Ave,Brooklyn,Brooklyn,NY,11208,Beacon,,Afterschool,,40.670693,-73.874447
Cypress Hills LDC,Student Success Center @Thomas Jefferson High School Campus,,400 Pennsylvania Avenue,Brooklyn,Brooklyn,NY,11207,Other Children & Youth Services,,,,40.666917,-73.894809
Cypress Hills LDC,Community Learning Center at IS 171 & Highland Park School,,528 Ridgewood Ave.,Brooklyn,Brooklyn,NY,11208,"21st Century Community Learning Center, COMPASS/SONYC",,Afterschool,,40.686051,-73.869469
Cypress Hills LDC,Academy of Excellence at PS 677,,605 Shepherd Ave.,Brooklyn,Brooklyn,NY,11208,"COMPASS/SONYC, Summer Rising",,Afterschool,,40.66949,-73.879458
Cypress Hills LDC,United Community Center,,613 New Lots Ave.,Brooklyn,Brooklyn,NY,11207,"Child Care Center, Other Children & Youth Services, Other Older Adult Services, Civic Engagement & Community Organizing, Food Access",Early Childhood Education,,Older Adults,40.664821,-73.886623
Cypress Hills LDC,Administrative Office,,625 Jamaica Ave.,Brooklyn,Brooklyn,NY,11208,,,,,40.686357,-73.881039
Cypress Hills LDC,After School at PS 65,,700 Jamaica Ave.,Brooklyn,Brooklyn,NY,11208,"COMPASS/SONYC, Summer Rising",,Afterschool,,40.687187,-73.878204
Cypress Hills LDC,Kids Clubhouse After School (PS 7),,858 Jamaica Ave.,Brooklyn,Brooklyn,NY,11208,"COMPASS/SONYC, Summer Rising",,Afterschool,,40.689602,-73.872991
Cypress Hills LDC,Student Success Center @ Franklin K. Lane Campus,,999 Jamaica Ave.,Brooklyn,Brooklyn,NY,11208,"Community School, Other Children & Youth Services",,,,40.692641,-73.868911
East Side House,Arturo Schomburg Satellite,,1010 Rev James A Polite Ave,The Bronx,Bronx,NY,10459,"Workforce Development, Community School",,,,40.823467,-73.898763
East Side House,Bronx Regional High School Campus ,,1010 Rev James A Polite Ave,The Bronx,Bronx,NY,10459,"Workforce Development, Community School",,,,40.823467,-73.898763
East Side House,MS 337 – The School for Inquiry and Social Justice,,1025 Morrison Avenue,Bronx,Bronx,NY,10472,COMPASS/SONYC,,Afterschool,,40.825015,-73.873769
East Side House,Urban Scholars Mathematics Institute,,1180 Tinton Ave.,Bronx,Bronx,NY,10456,"COMPASS/SONYC, Community School",,Afterschool,,40.828723,-73.900453
East Side House,Urban Scholars Community School,,1180 Tinton Avenue,Bronx,Bronx,NY,10456,COMPASS/SONYC,,Afterschool,,40.828723,-73.900453
East Side House,High School of World Cultures,,1300 Boynton Avenue,Bronx,Bronx,NY,10472,Community School,,,,40.831823,-73.878703
East Side House,Gotham Collaborative High School,,1980 Lafayette Ave,Bronx,Bronx,NY,10473,"Community School, Workforce Development",,,,40.822161,-73.855875
East Side House,Winifred Wheeler Nursery,,200 Alexander Ave,Bronx,Bronx,NY,10454,Head Start,Early Childhood Education,,,40.808904,-73.92571
East Side House,Jobs Plus,,201 St Ann's Ave.,Bronx,Bronx,NY,10454,"Adult Literacy, Workforce Development",,,,40.805955,-73.91854
East Side House,Mill Brook Community Center,,201 St Ann's Ave.,Bronx,Bronx,NY,10454,"COMPASS/SONYC, Cornerstone, Head Start",Early Childhood Education,Afterschool,,40.805955,-73.91854
East Side House,P.S. 67 Mohegan School,,2024 Mohegan Avenue,Bronx,Bronx,NY,10460,COMPASS/SONYC,,Afterschool,,40.84401,-73.884537
East Side House,Mitchel Community Center ,,210 Alexander Ave.,Bronx,Bronx,NY,10454,"Cornerstone, COMPASS/SONYC",,Afterschool,,40.809224,-73.925528
East Side House,Borinquen Court Senior Center (with Mitchel Senior Center),,285 East 138th Street,Bronx,Bronx,NY,10454,Older Adult Center,,,Older Adults,40.810776,-73.926395
East Side House,Lehman YABC,,3000 East Tremont Ave.,Bronx,Bronx,NY,10461,Workforce Development,,,,40.840605,-73.838772
East Side House,Patterson Senior Center,,308 E 145th St.,Bronx,Bronx,NY,10451,"Cornerstone, COMPASS/SONYC",,Afterschool,,40.815167,-73.922475
East Side House,"Smith Campus (BHHS, BDCA, YABC)",,333 E 151st St.,Bronx,Bronx,NY,10451,"Workforce Development, Community School",,,,40.818289,-73.919661
East Side House,Administrative Building,X,337 Alexander Ave.,Bronx,Bronx,NY,10454,"Workforce Development, Adult Literacy",,,,40.812304,-73.923723
East Side House,Patterson Community Center,,340 Morris Ave.,Bronx,Bronx,NY,10451,"COMPASS/SONYC, Cornerstone",,Afterschool,,40.813594,-73.924903
East Side House,Melrose Senior Center,,372 E 152nd St.,Bronx,Bronx,NY,10455,Older Adult Center,,,Older Adults,40.81835,-73.917765
East Side House,Mott Haven Community Center,,375 E 143rd St.,Bronx,Bronx,NY,10454,Head Start,Early Childhood Education,,,40.812757,-73.92132
East Side House,PS 18- Park Terrace,,3761 10th Avenue,New York,Manhattan,NY,10034,COMPASS/SONYC,,Afterschool,,40.860955,-73.921242
East Side House,Children's Pride,,414 Morris Ave.,Bronx,Bronx,NY,10451,Head Start,Early Childhood Education,,,40.81548,-73.923467
East Side House,Mott Haven Community High School,,455 Southern Blvd,Bronx,Bronx,NY,10455,"Community School, Workforce Development",,,,40.81055,-73.907243
East Side House,Mott Haven Educational Campus,,455 Southern Blvd.,Bronx,Bronx,NY,10455,Other Children & Youth Services,,,,40.81055,-73.907243
East Side House,PS 179 Campus,,468 East 140th St.,Bronx,Bronx,NY,10454,"COMPASS/SONYC, Community School",,Afterschool,,40.809407,-73.919873
East Side House,George Washington Campus,,549 Audubon Ave.,New York,Manhattan,NY,10040,Workforce Development,,,,40.855809,-73.926627
East Side House,George Washington High School YABC,,549 Audubon Ave.,New York,Manhattan,NY,10040,Workforce Development,,,,40.855809,-73.926627
East Side House,Urban Institute Of Mathematics,,650 Hollywood Ave.,Bronx,Bronx,NY,10465,COMPASS/SONYC,,Afterschool,,40.827055,-73.818648
East Side House,Mott Hall Community School,,650 Hollywood Avenue,Bronx,Bronx,NY,10465,Community School,,,,40.827055,-73.818648
East Side House,Honorable Eugene Oliver Education Center,,705 Concourse Village West,Bronx,Bronx,NY,10451,Head Start,Early Childhood Education,,,40.822545,-73.924103
East Side House,Accion Academy,,977 Fox St.,Bronx,Bronx,NY,10459,COMPASS/SONYC,,Afterschool,,40.822092,-73.89404
Educational Alliance,PS 142,,100 Attorney Street,New York,Manhattan,NY,10002,"LEAPS, COMPASS/SONYC, Other Children & Youth Services",,Afterschool,,40.718515,-73.984218
Educational Alliance,New Country Day Camp (K-6),,1131 Manor Road,Staten Island,Staten Island,NY,10314,Other Children & Youth Services,,,,40.598769,-74.122672
Educational Alliance,PS/MS 140,,123 Ridge St.,New York,Manhattan,NY,10002,"Community School, COMPASS/SONYC, Other Children & Youth Services",,Afterschool,,40.719137,-73.983284
Educational Alliance,Weinberg Center for Balanced Living,,197 E Broadway,New York,Manhattan,NY,10002,"Health & Fitness, Arts & Culture, Older Adult Center, Other Older Adult Services",,,Older Adults,40.714093,-73.988413
Educational Alliance,Manny Cantor Center,X,197 East Broadway,New York,Manhattan,NY,10002,"Child Care Center, Head Start, Workforce Development, Immigrant Services, Health & Fitness, Family Services, Food Access, Civic Engagement & Community Organizing, Arts & Culture, Adult Literacy, Older Adult Center, NORC, Other Older Adult Services",Early Childhood Education,,Older Adults,40.714093,-73.988413
Educational Alliance,Center for Recovery and Wellness,,25-29 Avenue D,New York,Manhattan,NY,10009,"Other Children & Youth Services, Workforce Development, Violence Prevention, Mental Health & Substance Abuse, Housing & Homelessness, Family Services, Food Access",,,,40.721028,-73.978158
Educational Alliance,Project ORE,,331 E 12th St.,New York,Manhattan,NY,10003,"Older Adult Center, Food Access, Mental Health & Substance Abuse",,,Older Adults,40.730493,-73.984385
Educational Alliance,Sirovich Center for Balanced Living,,331 E 12th St.,New York,Manhattan,NY,10003,"Health & Fitness, Arts & Culture, Older Adult Center, Other Older Adult Services",,,Older Adults,40.730493,-73.984385
Educational Alliance,14th Street Y,,334 E 14th St.,New York,Manhattan,NY,10003,"Child Care Center, Arts & Culture, Health & Fitness, Food Access",Early Childhood Education,,,40.731618,-73.983603
Educational Alliance,PS/MS 188 Extended Learning Day Programs,,442 East Houston St.,New York,Manhattan,NY,10002,"COMPASS/SONYC, Other Children & Youth Services",,Afterschool,,40.719971,-73.979481
Educational Alliance,Co-Op village NORC,,465 Grand St.,New York,Manhattan,NY,10002,"NORC, Older Adult Center, Health & Fitness",,,Older Adults,40.71483,-73.98372
Educational Alliance,Tompkins Square Middle School,,600 E 6th St.,New York,Manhattan,NY,10009,"Community School, LEAPS",,Afterschool,,40.724241,-73.981388
Educational Alliance,PS 64,,600 E6th St.,New York,Manhattan,NY,10009,"Community School, LEAPS, Other Children & Youth Services",,Afterschool,,40.724241,-73.981388
Goddard Riverside/Stanley Isaacs,Early Childhood Education,,114 West 91st Street,New York,Manhattan,NY,10024,Child Care Center,Early Childhood Education,,,40.789868,-73.97068
Goddard Riverside/Stanley Isaacs,Corner House,,131 Edgecombe Ave,New York,Manhattan,NY,10030,Housing & Homelessness,,,,40.821148,-73.945207
Goddard Riverside/Stanley Isaacs,Taft Senior Center (Stanley M. Isaacs),,1365 5th Avenue,New York,Manhattan,NY,10029,"NORC, Older Adult Center",,,Older Adults,40.798707,-73.947006
Goddard Riverside/Stanley Isaacs,Resource Center,,140 West 140th Street,New York,Manhattan,NY,10030,Family Services,,,,40.817993,-73.940542
Goddard Riverside/Stanley Isaacs,West 140th Street,,140 West 140th Street,New York,Manhattan,NY,10030,Housing & Homelessness,,,,40.817993,-73.940542
Goddard Riverside/Stanley Isaacs,Manhattanville Resource Center,,1430 Amsterdam Avenue,New York,Manhattan,NY,10027,Family Services,,,,40.817051,-73.955049
Goddard Riverside/Stanley Isaacs,After school at Beacon,,154 West 93rd Street,New York,Manhattan,NY,10025,Beacon,,Afterschool,,40.791602,-73.970854
Goddard Riverside/Stanley Isaacs,Summer Camps,,154 West 93rd Street,New York,Manhattan,NY,10025,Summer Rising,,,,40.791602,-73.970854
Goddard Riverside/Stanley Isaacs,Capitol Hall,,166 West 87th Street,New York,Manhattan,NY,10024,Housing & Homelessness,,,,40.788017,-73.973948
Goddard Riverside/Stanley Isaacs,PS 198 Beacon #1 (Stanley M. Isaacs),,1700 3rd Ave,New York,Manhattan,NY,10128,"Beacon, Summer Rising",,Afterschool,,40.785053,-73.949694
Goddard Riverside/Stanley Isaacs,Isaacs Programs-Youth (Stanley M. Isaacs),,1780 First Avenue,New York,Manhattan,NY,10128,"Other Children & Youth Services, Workforce Development, Youth Employment Services",,,,40.780825,-73.945878
Goddard Riverside/Stanley Isaacs,Senate Residence,,206 West 92nd Street,New York,Manhattan,NY,10025,Housing & Homelessness,,,,40.791725,-73.972989
Goddard Riverside/Stanley Isaacs,Intensive Mobile Treatment ,,2250 3rd Avenue,New York,Manhattan,NY,10035,Mental Health & Substance Abuse,,,,40.802067,-73.937238
Goddard Riverside/Stanley Isaacs,Stephen Russo House,,235 West 107th Street,New York,Manhattan,NY,10025,Housing & Homelessness,,,,40.801829,-73.966667
Goddard Riverside/Stanley Isaacs,Early Childhood Education,,243 West 64th Street,New York,Manhattan,NY,10023,Child Care Center,Early Childhood Education,,,40.774408,-73.9868
Goddard Riverside/Stanley Isaacs,After school at Lincoln Square,,250 West 65th Street,New York,Manhattan,NY,10023,Other Children & Youth Services,,,,40.774928,-73.987123
Goddard Riverside/Stanley Isaacs,Lincoln Square NORC,,250 West 65th Street,New York,Manhattan,NY,10023,NORC,,,Older Adults,40.774928,-73.987123
Goddard Riverside/Stanley Isaacs,Older Adult Center Lincoln Square,,250 West 65th Street,New York,Manhattan,NY,10023,Older Adult Center,,,Older Adults,40.774928,-73.987123
Goddard Riverside/Stanley Isaacs,RISE Youth Center/COFA,,250 West 65th Street,New York,Manhattan,NY,10023,Other Children & Youth Services,,,,40.774928,-73.987123
Goddard Riverside/Stanley Isaacs,Star Learning Center,,"26 West 84th Street, 2nd fl",New York,Manhattan,NY,10024,Other Children & Youth Services,,,,40.784431,-73.971618
Goddard Riverside/Stanley Isaacs,TOP Clubhouse,,263 West 86th Street,New York,Manhattan,NY,10024,Mental Health & Substance Abuse,,,,40.7888,-73.977266
Goddard Riverside/Stanley Isaacs,The Monument,,316 West 95th Street,New York,Manhattan,NY,10025,Housing & Homelessness,,,,40.794952,-73.974832
Goddard Riverside/Stanley Isaacs,#DegreesNYC,,352 West 110th Street,New York,Manhattan,NY,10025,Civic Engagement & Community Organizing,,,,40.801147,-73.95917
Goddard Riverside/Stanley Isaacs,Options Institute / Options Center,,352 West 110th Street,New York,Manhattan,NY,10025,Other Children & Youth Services,,,,40.801147,-73.95917
Goddard Riverside/Stanley Isaacs,MS 224 Beacon #2 (Stanley M. Isaacs),,410 East 100th Street,New York,Manhattan,NY,10029,"Beacon, Summer Rising",,Afterschool,,40.785292,-73.942158
Goddard Riverside/Stanley Isaacs,"Isaacs Programs-senior, HDM (Stanley M. Isaacs)",,415 East 93rd Street,New York,Manhattan,NY,10128,"Other Older Adult Services, Food Access, NORC, Older Adult Center",,,Older Adults,40.781214,-73.945277
Goddard Riverside/Stanley Isaacs,Law Project,,51 West 109th Street,New York,Manhattan,NY,10025,Housing & Homelessness,,,,40.800759,-73.960188
Goddard Riverside/Stanley Isaacs,Advocacy & Community Organizing,X,593 Columbus Ave,New York,Manhattan,NY,10024,Civic Engagement & Community Organizing,,,,40.787796,-73.970918
Goddard Riverside/Stanley Isaacs,Older Adult Center Goddard Riverside,,593 Columbus Ave,New York,Manhattan,NY,10024,Older Adult Center,,,Older Adults,40.787796,-73.970918
Goddard Riverside/Stanley Isaacs,Phelps House,,595 Columbus Ave,New York,Manhattan,NY,10024,Other Older Adult Services,,,Older Adults,40.787998,-73.970762
Goddard Riverside/Stanley Isaacs,Green Keepers; Top Opportunities,,"61 West 87th Street, Basement",New York,Manhattan,NY,10024,Workforce Development,,,,40.787076,-73.971206
Goddard Riverside/Stanley Isaacs,Community Arts,,647 Columbus Ave,New York,Manhattan,NY,10025,Arts & Culture,,,,40.789907,-73.969412
Goddard Riverside/Stanley Isaacs,West Side NORC,,689 Columbus Ave,New York,Manhattan,NY,10025,NORC,,,Older Adults,40.791082,-73.968536
Goddard Riverside/Stanley Isaacs,The Baxter,,81-30 Baxter Ave,Queens,Queens,NY,11373,Housing & Homelessness,,,,40.745857,-73.883663
Goddard Riverside/Stanley Isaacs,Homeless Outreach- downtown,,84 Bowery,New York,Manhattan,NY,10013,Housing & Homelessness,,,,40.717074,-73.995781
Goddard Riverside/Stanley Isaacs,"Homeless Outreach- uptown, weekend/overnight",,965 Columbus Ave,New York,Manhattan,NY,10025,Housing & Homelessness,,,,40.800074,-73.962016
Goddard Riverside/Stanley Isaacs,ACT Team,,995 Columbus Avenue,New York,Manhattan,NY,10025,Mental Health & Substance Abuse,,,,40.801008,-73.961363
Goddard Riverside/Stanley Isaacs,Learning to work,,Edward A. Reynolds Transfer HS 105 East 106th Street,New York,Manhattan,NY,10029,Other Children & Youth Services,,,,40.79284,-73.947257
Grand Street Settlement,Chinese-American Planning Council,,108 Avenue D,New York,Manhattan,NY,10009,Head Start,Early Childhood Education,,,40.723379,-73.975694
